Name    Radius (km)    Mass (kg)    Temperature (C)    Year Discovered    Distance from Earth (km)    Type
Adrastea;8.2;1.91e16;-145;1979;628000000;moon
Aitne;1.5;9.6e13;-160;2001;630000000;moon
Albiorix;16;1.24e17;-168;2000;1200000000;moon
Amalthea;83.5;7.17e18;-160;1892;628000000;moon
Ananke;14;3.82e16;-167;1951;630000000;moon
Aoede;2;1e14;-165;2003;630000000;moon
Arche;1.5;9.3e13;-160;2002;630000000;moon
Ariel;578.9;1.35e21;-213;1851;2710000000;moon
Atlas;15.1;6.6e15;-178;1980;1200000000;moon
Autonoe;2;1e14;-160;2001;630000000;moon
Belinda;45;5.4e17;-214;1986;2720000000;moon
Bianca;27;9.3e16;-216;1986;2720000000;moon
Caliban;36;2.5e17;-216;1997;2720000000;moon
Callirrhoe;4.3;9.6e15;-160;1999;630000000;moon
Callisto;2410.3;1.08e23;-139;1610;628000000;moon
Calypso;10.8;8.4e15;-168;1980;1200000000;moon
Carme;23;1.2e17;-166;1938;630000000;moon
Carpo;1.5;9.6e13;-160;2003;630000000;moon
Ceres;473;9.39e20;-105;1801;413700000;dwarf planet
Chaldene;1.8;9.4e13;-160;2000;630000000;moon
Chaos;300;4.0e19;-230;1998;6500000000;Kuiper belt object
Charon;606;1.52e21;-220;1978;5900000000;moon
Cordelia;20;3.6e16;-210;1986;2710000000;moon
Cressida;39;2.5e17;-214;1986;2720000000;moon
Cupid;9;3.8e15;-215;2003;2720000000;moon
Cyllene;1.5;9.6e13;-160;2003;630000000;moon
Daphnis;4.8;8.2e15;-178;2005;1200000000;moon
Dimorphos;0.08;5e10;-73;2022;11000000;moon
Deimos;6.2;1.8e15;-40;1877;77800000;moon
Desdemona;32;1.4e17;-215;1986;2720000000;moon
Despina;74;2.1e18;-200;1989;4480000000;moon
Deucalion;125;2.0e18;-240;1999;6500000000;Kuiper belt object
Dione;561;1.1e21;-186;1684;1200000000;moon
Dysnomia;300;4.0e20;-243;2005;9600000000;moon
Earth;6371;5.97e24;15;Unknown;0;planet
Elara;43;8.7e16;-160;1905;628000000;moon
Enceladus;252;1.1e20;-201;1789;1200000000;moon
Epimetheus;58.1;5.2e17;-203;1966;1200000000;moon
Erinome;1.6;9.6e13;-160;2000;630000000;moon
Eris;1163;1.66e22;-231;2005;9600000000;dwarf planet
Erriapo;5;4.1e16;-168;2000;1200000000;moon
Euanthe;1.2;8.4e13;-160;2001;630000000;moon
Eukelade;1;8.1e13;-160;2003;630000000;moon
Euporie;0.5;7.5e12;-160;2001;630000000;moon
Europa;1560.8;4.8e22;-160;1610;628000000;moon
Eurydome;1;8.4e13;-160;2001;630000000;moon
Ferdinand;20;3.8e16;-214;2001;2720000000;moon
Francisco;13;9.2e15;-215;2001;2720000000;moon
Galatea;87;2.1e18;-200;1989;4480000000;moon
Ganymede;2634.1;1.48e23;-163;1610;628000000;moon
Halimede;62;6.2e17;-210;2002;4480000000;moon
Harpalyke;2;9.6e13;-160;2000;630000000;moon
Hegemone;1.5;9.6e13;-160;2003;630000000;moon
Helene;16;1.0e17;-178;1980;1200000000;moon
Helike;2;9.6e13;-160;2003;630000000;moon
Hermippe;1.5;9.5e13;-160;2001;630000000;moon
Himalia;85;9.56e18;-150;1904;628000000;moon
Huya;400;3.9e19;-220;2000;6500000000;Kuiper belt object
Hydra;51;4.9e17;-220;2005;5900000000;moon
Hygiea;215;8.7e19;-70;1849;470000000;asteroid
Hyperion;135;5.6e18;-180;1848;1200000000;moon
Iapetus;734.5;1.6e21;-143;1671;1200000000;moon
Ijiraq;12;7.1e15;-178;2000;1200000000;moon
Io;1821.6;8.93e22;-143;1610;628000000;moon
Iocaste;2;1.1e14;-160;2000;630000000;moon
Isonoe;2;1.2e14;-160;2000;630000000;moon
Ixion;400;3.9e19;-240;2001;6500000000;Kuiper belt object
Janus;89.5;1.9e18;-193;1966;1200000000;moon
Taygete;1;7.9e13;-160;2001;630000000;moon
Telesto;12.4;4.3e16;-203;1980;1200000000;moon
Tethys;531;6.2e20;-187;1684;1200000000;moon
Thalassa;41;2.4e17;-200;1989;4480000000;moon
Thebe;49.3;7.8e17;-147;1979;628000000;moon
Thelxinoe;1;7.9e13;-160;2003;630000000;moon
Themisto;4;8.3e13;-160;1975;630000000;moon
Thrymr;2.5;9.8e13;-178;2000;1200000000;moon
Thyone;1;7.5e13;-160;2001;630000000;moon
Titan;2575.5;1.35e23;-179;1655;1200000000;moon
Titania;788.4;3.53e21;-203;1787;2870000000;moon
Trinculo;5;8.5e16;-214;2001;2720000000;moon
Triton;1353.4;2.14e22;-235;1846;4480000000;moon
Umbriel;584.7;1.27e21;-214;1851;2870000000;moon
Uranus;25362;8.68e25;-195;Unknown;2870000000;planet
Varuna;334;3.2e20;-213;2000;6400000000;Kuiper belt object
Venus;6051.8;4.87e24;464;Unknown;41400000;planet
Vesta;262.7;2.59e20;-20;1807;353000000;asteroid
Ymir;9;4.2e16;-180;2000;1200000000;moon
Zoe;80;3.3e18;-220;1999;6500000000;Kuiper belt object
